Country,countryCode,Population,Capital,Birthrate,Deathrate
Niger,NER,18045729,1267000,12.4,55.1
Nigeria,NGA,181562056,923768,12.9,53
North Korea,PRK,24983205,120538,9.2,70.1
Northern Mariana Islands,MNP,52344,464,3.7,77.8
Norway,NOR,5207689,323802,8.1,81.7
Oman,OMN,3286936,309500,3.4,75.2
Austria,AUT,8665550,83871,9.4,81.4
Timor-Leste,TLS,1231116,14874,6.1,67.7
Pakistan,PAK,199085847,796095,6.5,67.4
Palestine,PS,2731052,5860,3.5,75.7
Palau,PLW,21265,459,8,72.9
Panama,PAN,3657024,75420,4.8,78.5
Papua New Guinea,PNG,6672429,462840,6.5,67
Paraguay,PRY,6783272,406752,4.7,77
Peru,PER,30444999,1285216,6,73.5
Philippines,PHL,100998376,300000,6.1,69
Poland,POL,38562189,312685,10.2,77.4
Portugal,PRT,10825309,92090,11,79.2
Puerto Rico,PRI,3598357,13790,8.7,79.2
Rwanda,RWA,12661733,26338,9,59.7
Romania,ROU,21666350,238391,11.9,74.9
Russia,RUS,142423773,17098242,13.7,70.5
Solomon Islands,SLB,622469,28896,3.9,75.1
Zambia,ZMB,15066266,752618,12.7,52.1
Samoa,WSM,197773,2831,5.3,73.5
San Marino,SMR,33020,61,8.5,83.2
Sao Tome and Principe,STP,194006,964,7.2,64.6
Saudi Arabia,SAU,27752316,2149690,3.3,75
Sweden,SWE,9801616,450295,9.4,82
Switzerland,CHE,8121830,41277,8.1,82.5
Senegal,SEN,13975834,196722,8.5,61.3
Serbia,SRB,77474,0,75.3,0
Seychelles,SYC,92430,455,6.9,74.5
Sierra Leone,SLE,5879098,71740,10.8,57.8
Zimbabwe,ZWE,14229541,390757,10.1,57
Singapore,SGP,5674472,697,3.4,84.7
Slovakia,SVK,5445027,49035,9.7,76.9
Slovenia,SVN,1983412,20273,11.4,78
Somalia,SOM,10616380,637657,13.6,52
Spain,ESP,48146134,505370,9,81.6
Sri Lanka,LKA,22053488,65610,6.1,76.6
South Africa,ZAF,53675563,1219090,9.9,62.3
Sudan,SDN,36108853,1861484,7.7,63.7
South Korea,KOR,49115196,99720,6.8,80
South Sudan,SSD,12042910,644329,8.2,0
Suriname,SUR,579633,163820,6.1,72
Swaziland,SWZ,1435613,17364,13.6,51
Syria,SYR,17064854,185180,4,74.7
Tajikistan,TJK,8191958,143100,6.2,67.4
Taiwan,TWN,23415126,35980,7.1,80
Tanzania,TZA,51045882,947300,8,61.7
Thailand,THA,67976405,513120,7.8,74.4
Togo,TGO,7552318,56785,7.3,64.5
Tonga,TON,106501,747,4.9,76
Trinidad and Tobago,TTO,1222363,5128,8.6,72.6
Chad,TCD,11631456,1284000,14.3,49.8
Tunisia,TUN,11037225,163610,6,75.9
Turkey,TUR,79414269,783562,5.9,74.6
Turkmenistan,TKM,5231422,488100,6.1,69.8
