City,Population,Area,density,latitude,longitude,name,desc,color,source,precision
Qalyubia,"48,11,673","1,001.09","4,806",30.333118,31.222013,Qalyubia,"Qalyubia Governorate, EG",,MapQuest Open,state/province
Chengdu,"47,41,929",421,"11,26",30.676555,104.061278,Chengdu,"Chengdu, Qingyang District, Sichuan, CN",,MapQuest Open,city/town
Alexandria,"46,16,625","2,68","1,723",31.199004,29.894379,Alexandria,"Alexandria, Alexandria Governorate, EG",,MapQuest Open,city/town
Ankara,"45,50,662","2,516","1,551",39.922073,32.853758,Ankara,"Ankara, Çankaya, Ankara, TR",,MapQuest Open,city/town
Chongqing,"45,13,100","1,435","3,145",29.558571,106.549282,Chongqing,"Chongqing, Central Chongqing, Chongqing, CN",,MapQuest Open,city/town
Kolkata,"44,86,679",200.7,"24,252",22.567746,88.347602,Kolkata,"Kolkata, Hāora, West Bengal, IN",,MapQuest Open,city/town
Xi'an,"44,83,426",832,"5,388",34.342971,108.935274,Xi'an,"Xi'an, Weiyang District, Shaanxi, CN",,MapQuest Open,city/town
Surat,"44,62,002",326.515,"13,666",21.186461,72.808128,Surat,"Surat, Bharūch, Gujarat, IN",,MapQuest Open,city/town
Johannesburg,"44,34,827","1,645","2,696",-26.205,28.049722,Johannesburg,"Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, ZA",,MapQuest Open,city/town
Nanjing,"43,93,857",742.85,"5,915",23.413611,120.384722,Nanjing,"Nanjing, Chiayi County, Taiwan Province, TW",,MapQuest Open,city/town
Dar es Salaam,"43,64,541","1,590.50","2,744",-6.814274,39.280376,Dar es Salaam,"Dar es Salaam, Dar es Salaam, TZ",,MapQuest Open,city/town
Yangon,"43,50,000",598.75,"6,828",17.059434,96.11339,Yangon,"Yangon, MM",,MapQuest Open,state/province
Abidjan,"42,88,000","2,119","2,024",5.320357,-4.016107,Abidjan,"Abidjan, Abidjan, CI",,MapQuest Open,city/town
Harbin,"42,80,701","1,718.20","2,491.40",45.765667,126.616058,Harbin,"Harbin, Daoli District, Heilongjiang, CN",,MapQuest Open,city/town
